Rank	Filename	Anomaly_Score
1	tile_00129_cell15.png	4.628281
2	tile_00212_cell11.png	4.628726
3	tile_00097_cell72.png	4.628769
4	tile_00888_cell28.png	4.628976
5	tile_00547_cell17.png	4.629613
6	tile_00853_cell12.png	4.629695
7	tile_00302_cell16.png	4.629960
8	tile_00302_cell128.png	4.630198
9	tile_00182_cell31.png	4.630937
10	tile_00632_cell78.png	4.631709
11	tile_00168_cell2.png	4.631869
12	tile_00887_cell20.png	4.632473
13	tile_00548_cell6.png	4.632505
14	tile_00124_cell9.png	4.632665
15	tile_00522_cell60.png	4.632699
16	tile_00095_cell11.png	4.633126
17	tile_00105_cell17.png	4.633232
18	tile_00848_cell6.png	4.633522
19	tile_00269_cell39.png	4.633710
20	tile_00113_cell62.png	4.633847
21	tile_00118_cell22.png	4.633879
22	tile_00988_cell25.png	4.634017
23	tile_00499_cell58.png	4.634071
24	tile_00301_cell36.png	4.634274
25	tile_00220_cell7.png	4.634412
26	tile_00916_cell134.png	4.634621
27	tile_00399_cell86.png	4.634654
28	tile_00520_cell88.png	4.635035
29	tile_00851_cell34.png	4.635374
30	tile_00882_cell48.png	4.635436
31	tile_00400_cell22.png	4.636021
32	tile_00978_cell7.png	4.636608
33	tile_00171_cell6.png	4.637757
34	tile_00787_cell17.png	4.637929
35	tile_00249_cell25.png	4.637949
36	tile_00539_cell28.png	4.638079
37	tile_00405_cell57.png	4.638382
38	tile_00731_cell3.png	4.638433
39	tile_00286_cell17.png	4.638684
40	tile_00374_cell13.png	4.638867
41	tile_00383_cell8.png	4.639103
42	tile_00287_cell6.png	4.639268
43	tile_00372_cell21.png	4.639483
44	tile_00940_cell10.png	4.639646
45	tile_00118_cell28.png	4.639791
46	tile_00700_cell9.png	4.639912
47	tile_00395_cell93.png	4.640607
48	tile_00505_cell48.png	4.641025
49	tile_00701_cell72.png	4.641205
50	tile_00398_cell57.png	4.641529
51	tile_00099_cell22.png	4.641651
52	tile_00797_cell75.png	4.641790
53	tile_00093_cell47.png	4.641801
54	tile_00235_cell54.png	4.642097
55	tile_00086_cell62.png	4.642219
56	tile_00652_cell14.png	4.643086
57	tile_00937_cell39.png	4.643321
58	tile_00714_cell71.png	4.643834
59	tile_00118_cell13.png	4.644217
60	tile_00219_cell14.png	4.644652
61	tile_00084_cell22.png	4.644706
62	tile_00522_cell25.png	4.644719
63	tile_00240_cell31.png	4.645234
64	tile_00845_cell6.png	4.645315
65	tile_00734_cell79.png	4.645546
66	tile_00683_cell34.png	4.645681
67	tile_00302_cell153.png	4.646586
68	tile_00786_cell29.png	4.646708
69	tile_00521_cell23.png	4.646830
70	tile_00426_cell34.png	4.646939
71	tile_00836_cell10.png	4.647138
72	tile_00202_cell24.png	4.647489
73	tile_00866_cell81.png	4.647648
74	tile_00544_cell13.png	4.648014
75	tile_00702_cell71.png	4.648066
76	tile_00307_cell126.png	4.648615
77	tile_00802_cell13.png	4.648662
78	tile_00064_cell4.png	4.649144
79	tile_00798_cell20.png	4.649168
80	tile_00021_cell35.png	4.650872
81	tile_00882_cell28.png	4.651047
82	tile_00355_cell35.png	4.651361
83	tile_00239_cell43.png	4.651734
84	tile_00399_cell77.png	4.652217
85	tile_00536_cell60.png	4.652816
86	tile_00302_cell43.png	4.652973
87	tile_00113_cell39.png	4.653073
88	tile_00539_cell24.png	4.653540
89	tile_00867_cell6.png	4.653642
90	tile_00681_cell14.png	4.653835
91	tile_00003_cell12.png	4.653843
92	tile_00703_cell4.png	4.653880
93	tile_00019_cell7.png	4.654424
94	tile_00520_cell53.png	4.654601
95	tile_00111_cell67.png	4.655601
96	tile_00037_cell23.png	4.655654
97	tile_00732_cell14.png	4.655811
98	tile_00240_cell22.png	4.655920
99	tile_00410_cell21.png	4.656148
100	tile_00302_cell114.png	4.656188
101	tile_00697_cell13.png	4.656350
102	tile_00076_cell56.png	4.656673
103	tile_00244_cell15.png	4.656694
104	tile_00958_cell46.png	4.657285
105	tile_00323_cell14.png	4.657701
106	tile_00510_cell53.png	4.658186
107	tile_00037_cell12.png	4.658290
108	tile_00003_cell36.png	4.658651
109	tile_00007_cell28.png	4.658663
110	tile_00302_cell150.png	4.658998
111	tile_00584_cell7.png	4.659039
112	tile_00174_cell9.png	4.659319
113	tile_00302_cell86.png	4.659573
114	tile_00001_cell79.png	4.659987
